Age	Wellformat	Group	Treatment	Gate	Replicate	Name
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_10A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_10B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_11A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_11B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_12A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_12B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_13A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_13B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_14A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_14B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_15A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_15B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_16A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_16B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_17A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_17B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_18A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_18B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_19A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_19B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_1A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_1B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_20A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_20B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_21A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_21B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_22A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_22B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_23A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_23B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_24A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_24B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_2A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_2B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_3A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_3B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_4A
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_4B
wk4	96-well	PDC	Control	Evi1-GFPpos	Rep1	Control_wk4_5A
